[22:19:23] [INFO] received Windows console close event; shutting log-core down
[22:35:24] [INFO] received Windows console close event; shutting log-core down
[22:38:12] [INFO] received Windows console close event; shutting log-core down
[22:42:38] [INFO] received Windows console close event; shutting log-core down
[22:46:03] [INFO] received Windows console close event; shutting log-core down
[22:55:05] [INFO] received Windows console close event; shutting log-core down
[23:57:39] [INFO] received Windows console close event; shutting log-core down
[00:03:18] [INFO] received Windows console close event; shutting log-core down
[00:27:07] [INFO] received Windows console close event; shutting log-core down
[00:36:18] [INFO] received Windows console close event; shutting log-core down
[00:45:17] [INFO] received Windows console close event; shutting log-core down
[00:49:03] [INFO] received Windows console close event; shutting log-core down
[01:05:18] [INFO] received Windows console close event; shutting log-core down
[01:07:05] [INFO] received Windows console close event; shutting log-core down
[01:09:25] [INFO] received Windows console close event; shutting log-core down
[13:52:16] [INFO] received Windows console close event; shutting log-core down
[20:40:56] [INFO] received Windows console close event; shutting log-core down
[09:01:27] [INFO] received Windows console close event; shutting log-core down
[11:28:34] [INFO] received Windows console close event; shutting log-core down
[11:35:09] [INFO] received Windows console close event; shutting log-core down
[12:01:47] [INFO] received Windows console close event; shutting log-core down
[12:10:10] [INFO] received Windows console close event; shutting log-core down
[12:13:59] [INFO] received Windows console close event; shutting log-core down
[12:19:42] [INFO] received Windows console close event; shutting log-core down
[13:14:38] [INFO] received Windows console close event; shutting log-core down
[13:20:58] [INFO] received Windows console close event; shutting log-core down
[13:54:10] [INFO] received Windows console close event; shutting log-core down
[14:01:40] [INFO] received Windows console close event; shutting log-core down
[14:07:08] [INFO] received Windows console close event; shutting log-core down
[14:16:36] [INFO] received Windows console close event; shutting log-core down
[14:46:37] [INFO] received Windows console close event; shutting log-core down
[16:02:36] [INFO] received Windows console close event; shutting log-core down
[17:08:57] [INFO] received Windows console close event; shutting log-core down
[11:15:22] [INFO] received Windows console close event; shutting log-core down
[13:24:49] [INFO] received Windows console close event; shutting log-core down
[13:38:29] [INFO] received Windows console close event; shutting log-core down
[13:47:52] [INFO] received Windows console close event; shutting log-core down
[22:34:24] [INFO] received Windows console close event; shutting log-core down
[23:09:41] [INFO] received Windows console close event; shutting log-core down
[23:21:40] [INFO] received Windows console close event; shutting log-core down
[23:41:27] [INFO] received Windows console close event; shutting log-core down
[23:44:31] [INFO] received Windows console close event; shutting log-core down
[23:45:56] [INFO] received Windows console close event; shutting log-core down
[23:51:00] [INFO] received Windows console close event; shutting log-core down
[23:55:36] [INFO] received Windows console close event; shutting log-core down
[00:00:16] [INFO] received Windows console close event; shutting log-core down
[11:19:17] [INFO] received Windows console close event; shutting log-core down
[11:27:32] [INFO] received Windows console close event; shutting log-core down
[11:54:28] [INFO] received Windows console close event; shutting log-core down
[12:09:41] [INFO] received Windows console close event; shutting log-core down
[12:54:40] [INFO] received Windows console close event; shutting log-core down
[23:27:29] [INFO] received Windows console close event; shutting log-core down
[11:36:49] [INFO] received Windows console close event; shutting log-core down
[01:44:14] [INFO] received Windows console close event; shutting log-core down
[22:32:45] [INFO] received Windows console close event; shutting log-core down
